trait1	trait2	p.value	BH
WAX.iso_CPI	DEV.CotPaveRound	0.390471607	0.724469513
WAX.iso_ACL	DEV.CotPaveRound	0.869836087	0.958014903
WAX.13eps_iC31	DEV.CotPaveRound	0.644470824	0.871952083
WAX.13eps_nC31	DEV.CotPaveRound	0.690686993	0.893461882
WAX.13eps_iC33	DEV.CotPaveRound	0.094508554	0.381885019
WAX.13eps_nC33	DEV.CotPaveRound	0.301577874	0.653286353
WAX.i31_n31	DEV.CotPaveRound	0.724928008	0.908222233
WAX.i33_n33	DEV.CotPaveRound	0.513332133	0.801774143
DEV.CompAll	DEV.CotPaveSolid	0.297999715	0.650828585
DEV.CompInt	DEV.CotPaveSolid	0.39296951	0.726542643
DEV.CompPri	DEV.CotPaveSolid	0.972927775	0.992246921
DEV.CompRachis	DEV.CotPaveSolid	0.479615119	0.781850546
DEV.CompSec	DEV.CotPaveSolid	0.263969074	0.615507414
DEV.CotPaveAR	DEV.CotPaveSolid	0.302277729	0.654093081
DEV.CotPaveArea	DEV.CotPaveSolid	0.264868028	0.616555625
DEV.CotPaveCirc	DEV.CotPaveSolid	0	0
DEV.CotPaveCnt	DEV.CotPaveSolid	0.158824356	0.489495476
DEV.CotPaveRound	DEV.CotPaveSolid	0.250731707	0.601882172
DEV.CotPaveSolid	DEV.CotPaveSolid	NA	NA
DEV.CotStom	DEV.CotPaveSolid	0.598781106	0.849896585
DEV.CotStomInd	DEV.CotPaveSolid	0.231636087	0.582194796
DEV.FlowTime	DEV.CotPaveSolid	0.026145723	0.182706472
DEV.LatLfSize	DEV.CotPaveSolid	0.739903614	0.91368148
DEV.LatPC1	DEV.CotPaveSolid	0.31295464	0.664799806
DEV.LatPC2	DEV.CotPaveSolid	0.959710849	0.988313399
DEV.LatPC3	DEV.CotPaveSolid	0.729547302	0.910379717
DEV.LatPC4	DEV.CotPaveSolid	0.509383076	0.799664069
DEV.LatPC5	DEV.CotPaveSolid	0.355215261	0.699449226
DEV.LfAbStom	DEV.CotPaveSolid	0.236807041	0.588043483
DEV.LfAdStom	DEV.CotPaveSolid	0.034390491	0.215690617
DEV.LfStomRatio	DEV.CotPaveSolid	0.050213847	0.270574269
DEV.LftAR	DEV.CotPaveSolid	0.867896873	0.95736401
DEV.LftCirc	DEV.CotPaveSolid	0.142078488	0.464210953
DEV.LftRound	DEV.CotPaveSolid	0.887715348	0.964422842
DEV.LftSolid	DEV.CotPaveSolid	0.06874622	0.323584479
DEV.TermLfSize	DEV.CotPaveSolid	0.798545854	0.935749035
DEV.TermPC1	DEV.CotPaveSolid	0.491835955	0.788550383
DEV.TermPC3	DEV.CotPaveSolid	0.358763332	0.701718797
DEV.TermPC4	DEV.CotPaveSolid	0.377816888	0.715177142
DEV.TermPC5	DEV.CotPaveSolid	0.186928413	0.528307103
ENZ.aa_cont	DEV.CotPaveSolid	0.496110335	0.792102576
ENZ.ac_inv	DEV.CotPaveSolid	0.719045028	0.905233101
ENZ.aconi	DEV.CotPaveSolid	0.765300743	0.922729481
ENZ.agpa	DEV.CotPaveSolid	0.49230544	0.78894126
ENZ.ala_ami	DEV.CotPaveSolid	0.816012003	0.941672285
ENZ.asp_ami	DEV.CotPaveSolid	0.348050086	0.693076666
ENZ.fbp_ald	DEV.CotPaveSolid	0.484646623	0.78408119
ENZ.fru_kin	DEV.CotPaveSolid	0.550786131	0.824063809
ENZ.fructose_e	DEV.CotPaveSolid	0.499411499	0.793802064
ENZ.fuma	DEV.CotPaveSolid	0.372805331	0.7117463
ENZ.g6pdh	DEV.CotPaveSolid	0.595724413	0.849088615
ENZ.gadph	DEV.CotPaveSolid	0.367034013	0.707992359
ENZ.gapdh_p	DEV.CotPaveSolid	0.28281061	0.634655876
ENZ.gluc_kin	DEV.CotPaveSolid	0.10254971	0.396550737
ENZ.glucose_e	DEV.CotPaveSolid	0.342702376	0.688506799
ENZ.gluta_dh	DEV.CotPaveSolid	0.724289828	0.907902905
ENZ.iso_ci_dh	DEV.CotPaveSolid	0.714200267	0.903346665
ENZ.mal_dh	DEV.CotPaveSolid	0.378099485	0.715312548
ENZ.pep_car	DEV.CotPaveSolid	0.280349379	0.631819706
ENZ.ph_fru_kin	DEV.CotPaveSolid	0.193533707	0.536568221
ENZ.ph_fru_kin_a	DEV.CotPaveSolid	0.482370853	0.782436244
ENZ.ph_glu_is_c	DEV.CotPaveSolid	0.346708316	0.691833375
ENZ.ph_glu_is_t	DEV.CotPaveSolid	0.687473246	0.892110659
ENZ.ph_glu_mut	DEV.CotPaveSolid	0.059997988	0.301618502
ENZ.ph_gly_kin	DEV.CotPaveSolid	0.493149097	0.789758174
ENZ.pro_con	DEV.CotPaveSolid	0.180058366	0.520090092
ENZ.pyr_kin	DEV.CotPaveSolid	0.163570017	0.496432605
ENZ.shik_de	DEV.CotPaveSolid	0.282340708	0.634059282
ENZ.starch	DEV.CotPaveSolid	0.692727922	0.894377758
ENZ.suc_p_syn	DEV.CotPaveSolid	0.865450479	0.957155738
ENZ.suc_syn	DEV.CotPaveSolid	0.199749804	0.544676581
ENZ.succ_co_l	DEV.CotPaveSolid	0.793894084	0.93374147
ENZ.sucrose_e	DEV.CotPaveSolid	0.104470586	0.399534063
ENZ.tr_ph_iso	DEV.CotPaveSolid	0.549397704	0.823433353
ENZ.udp_glu	DEV.CotPaveSolid	0.078765198	0.346507396
MET.a_tocopherol	DEV.CotPaveSolid	0.622089706	0.861959034
MET.aconitate	DEV.CotPaveSolid	0.954764453	0.986800118
MET.alanine	DEV.CotPaveSolid	0.733645078	0.91150288
MET.arabinose	DEV.CotPaveSolid	0.460291186	0.769552855
MET.arginine	DEV.CotPaveSolid	0.82159253	0.943466564
MET.asparagine	DEV.CotPaveSolid	0.298243101	0.65102999
MET.aspartate	DEV.CotPaveSolid	0.576949626	0.838911597
MET.b_alanine	DEV.CotPaveSolid	0.42919059	0.751044476
MET.benzoate	DEV.CotPaveSolid	0.485873802	0.784686104
MET.citramalate	DEV.CotPaveSolid	0.685755399	0.891246188
MET.citrate	DEV.CotPaveSolid	0.43071445	0.751733642
MET.cysteine	DEV.CotPaveSolid	0.932700567	0.98034884
MET.dehydroascorbate	DEV.CotPaveSolid	0.079956963	0.349441542
MET.erythritol	DEV.CotPaveSolid	0.347781474	0.692952876
MET.fa16_0	DEV.CotPaveSolid	0.373733569	0.712009101
MET.fa18_0	DEV.CotPaveSolid	0.71516833	0.9036052
MET.fa18_2	DEV.CotPaveSolid	0.72310053	0.907199396
MET.fructose	DEV.CotPaveSolid	0.780580772	0.928568713
MET.fructose_6p	DEV.CotPaveSolid	0.647631489	0.873325719
MET.fucose	DEV.CotPaveSolid	0.783216729	0.929682092
MET.fumarate	DEV.CotPaveSolid	0.449851654	0.763357242
MET.gaba	DEV.CotPaveSolid	0.713619646	0.903198763
MET.galactose	DEV.CotPaveSolid	0.236911243	0.588178925
MET.galacturonate	DEV.CotPaveSolid	0.594104504	0.848131071
MET.gluconate	DEV.CotPaveSolid	0.810983423	0.939752104
MET.glucose	DEV.CotPaveSolid	0.917054557	0.975317638
MET.glucose_6p	DEV.CotPaveSolid	0.559851817	0.829269948
MET.glutamate	DEV.CotPaveSolid	0.468170612	0.774626167
MET.glutamine	DEV.CotPaveSolid	0.581264309	0.841345565
MET.glycerate	DEV.CotPaveSolid	0.914382182	0.974193764
MET.glycerate_3p	DEV.CotPaveSolid	0.767968719	0.923861711
MET.glycerol	DEV.CotPaveSolid	0.89466752	0.967066343
MET.glycerol_1p	DEV.CotPaveSolid	0.656238394	0.877389823
MET.glycine	DEV.CotPaveSolid	0.23900245	0.590398688
MET.homoserine	DEV.CotPaveSolid	0.047946027	0.262707404
MET.inositol	DEV.CotPaveSolid	0.884032124	0.962738386
MET.inositol_1p	DEV.CotPaveSolid	0.155101837	0.484266826
MET.isocitrate	DEV.CotPaveSolid	0.665455951	0.881913616
MET.isoleucine	DEV.CotPaveSolid	0.9766465	0.992818447
MET.isomaltose	DEV.CotPaveSolid	0.148679209	0.474859547
MET.l_ascorbate	DEV.CotPaveSolid	0.674426125	0.886277975
MET.leucine	DEV.CotPaveSolid	0.892834864	0.966513558
MET.lysine	DEV.CotPaveSolid	0.690148592	0.893178561
MET.malate	DEV.CotPaveSolid	0.555135821	0.82673235
MET.maleate	DEV.CotPaveSolid	0.314525793	0.666038544
MET.maltitol	DEV.CotPaveSolid	0.872997468	0.959219978
MET.maltose	DEV.CotPaveSolid	0.906576169	0.971614514
MET.mannitol	DEV.CotPaveSolid	0.383630933	0.720039836
MET.mannose	DEV.CotPaveSolid	0.502392279	0.795487627
MET.methionine	DEV.CotPaveSolid	0.142872063	0.465737277
MET.oxoproline_5	DEV.CotPaveSolid	0.348101301	0.693129297
MET.phenylalanine	DEV.CotPaveSolid	0.04682916	0.259126293
MET.phosphate	DEV.CotPaveSolid	0.732863991	0.91150288
MET.proline	DEV.CotPaveSolid	0.170306232	0.505710775
MET.putrescine	DEV.CotPaveSolid	0.120287942	0.430163118
MET.quinate	DEV.CotPaveSolid	0.383065521	0.719602166
MET.rhamnose	DEV.CotPaveSolid	0.097005426	0.387419447
MET.ribose	DEV.CotPaveSolid	0.404346244	0.733155242
MET.s_me_cysteine	DEV.CotPaveSolid	0.444691657	0.760254731
MET.saccharate	DEV.CotPaveSolid	0.00605588	0.068019713
MET.serine	DEV.CotPaveSolid	0.840249078	0.950046077
MET.shikimate	DEV.CotPaveSolid	0.64909057	0.874152742
MET.sorbitol	DEV.CotPaveSolid	0.946351351	0.984463633
MET.succinate	DEV.CotPaveSolid	0.191821944	0.534459389
MET.sucrose	DEV.CotPaveSolid	0.431324853	0.751750319
MET.t4_ho_proline	DEV.CotPaveSolid	0.194213511	0.537334294
MET.threonate	DEV.CotPaveSolid	0.714393844	0.903368289
MET.threonine	DEV.CotPaveSolid	0.679660434	0.888405075
MET.trehalose	DEV.CotPaveSolid	0.483182975	0.78275474
MET.tryptophan	DEV.CotPaveSolid	0.717493484	0.904703673
MET.tyrosine	DEV.CotPaveSolid	0.91972785	0.975762862
MET.uracil	DEV.CotPaveSolid	0.557190102	0.827705216
MET.valine	DEV.CotPaveSolid	0.473164243	0.777696811
MOR.Anther_L_W	DEV.CotPaveSolid	0.906310674	0.97151613
MOR.Anther_length	DEV.CotPaveSolid	0.881079347	0.961567638
MOR.Anther_width	DEV.CotPaveSolid	0.975191807	0.992374427
MOR.BM	DEV.CotPaveSolid	0.058400609	0.296358455
MOR.BX	DEV.CotPaveSolid	0.531107661	0.812147546
MOR.BY	DEV.CotPaveSolid	0.044787023	0.25272677
MOR.EA	DEV.CotPaveSolid	0.668344133	0.883271293
MOR.flowers_inf	DEV.CotPaveSolid	0.525633964	0.808451774
MOR.flowers_plant	DEV.CotPaveSolid	0.072913555	0.333267154
MOR.FN	DEV.CotPaveSolid	0.137156929	0.457242034
MOR.Fruit_L_Pt	DEV.CotPaveSolid	0.978826583	0.99375097
MOR.Fruit_L_W	DEV.CotPaveSolid	0.291011064	0.643811045
MOR.Fruit_length	DEV.CotPaveSolid	0.32829202	0.675919504
MOR.Fruit_locule	DEV.CotPaveSolid	0.84787568	0.952246095
MOR.Fruit_peric_thick	DEV.CotPaveSolid	0.270318803	0.622919976
MOR.Fruit_W_Pt	DEV.CotPaveSolid	0.619619663	0.860007122
MOR.Fruit_width	DEV.CotPaveSolid	0.490439057	0.787928074
MOR.FW	DEV.CotPaveSolid	0.592391861	0.84724628
MOR.HI	DEV.CotPaveSolid	0.63870248	0.870295924
MOR.inf	DEV.CotPaveSolid	0.073804083	0.335719744
MOR.Ovary_L_W	DEV.CotPaveSolid	0.995722071	0.999481273
MOR.Ovary_length	DEV.CotPaveSolid	0.109889201	0.410960335
MOR.Ovary_width	DEV.CotPaveSolid	0.372370393	0.711584237
MOR.PW	DEV.CotPaveSolid	0.19284605	0.535670959
MOR.RED	DEV.CotPaveSolid	0.070893008	0.32829837
MOR.Seed_L_W	DEV.CotPaveSolid	0.140009399	0.461477141
MOR.Seed_Length	DEV.CotPaveSolid	0.777673616	0.927437968
MOR.Seed_Width	DEV.CotPaveSolid	0.873679648	0.959427113
MOR.Seed_Wt	DEV.CotPaveSolid	0.387924238	0.722432135
MOR.SN_fruit	DEV.CotPaveSolid	0.627223651	0.864767137
MOR.SN_fruit_unit	DEV.CotPaveSolid	0.886794676	0.964196567
MOR.SN_plant	DEV.CotPaveSolid	0.19443708	0.537701018
MOR.Style_L_W	DEV.CotPaveSolid	0.655885834	0.877389823
MOR.Style_length	DEV.CotPaveSolid	0.929716904	0.979744628
MOR.Style_width	DEV.CotPaveSolid	0.66288802	0.880764271
MOR.SW_fruit	DEV.CotPaveSolid	0.508577885	0.799173408
MOR.SW_plant	DEV.CotPaveSolid	0.251310896	0.602136441
MOR.TY	DEV.CotPaveSolid	0.079239794	0.347824654
SED.Adenine_seeds	DEV.CotPaveSolid	0.830066506	0.945951096
SED.Alanine_seeds	DEV.CotPaveSolid	0.998671277	0.999727962
SED.Arginine_seeds	DEV.CotPaveSolid	0.843322977	0.951118955
SED.Asparagine_seeds	DEV.CotPaveSolid	0.260425783	0.611868222
SED.Aspartate_seeds	DEV.CotPaveSolid	0.988927648	0.997544106
SED.Benzoate_seeds	DEV.CotPaveSolid	0.302968464	0.654979598
SED.Citrate_seeds	DEV.CotPaveSolid	0.829659162	0.945795211
SED.Erythritol_seeds	DEV.CotPaveSolid	0.703820299	0.899302713
SED.Fructose_seeds	DEV.CotPaveSolid	0.648328237	0.87379024
SED.Fumarate_seeds	DEV.CotPaveSolid	0.860740025	0.955282239
SED.GABA_seeds	DEV.CotPaveSolid	0.877566855	0.960695551
SED.Galactinol_seeds	DEV.CotPaveSolid	0.751257036	0.917796154
SED.Galactonic_acid_1_4_lactone_seeds	DEV.CotPaveSolid	0.384132978	0.720216438
SED.Glutamate_seeds	DEV.CotPaveSolid	0.521707312	0.805904165
SED.Glycerate_seeds	DEV.CotPaveSolid	0.797121135	0.935241071
SED.Glycerol_1P_seeds	DEV.CotPaveSolid	0.485068842	0.784174688
SED.Glycerol_seeds	DEV.CotPaveSolid	0.72330881	0.907220708
SED.Glycine_seeds	DEV.CotPaveSolid	0.573075717	0.836300436
SED.Glycolate_seeds	DEV.CotPaveSolid	0.338342864	0.684365415
SED.Isoleucine_seeds	DEV.CotPaveSolid	0.856815098	0.954279206
SED.Lysine_seeds	DEV.CotPaveSolid	0.997785463	0.999727962
SED.Malate_seeds	DEV.CotPaveSolid	0.90213714	0.969762432
SED.Maltotriose_seeds	DEV.CotPaveSolid	0.930610117	0.979918368
SED.Melezitose_seeds	DEV.CotPaveSolid	0.607859871	0.854628181
SED.Myo_Inositol_seeds	DEV.CotPaveSolid	0.828360408	0.945165285
SED.NA_sugar_seeds	DEV.CotPaveSolid	0.831174966	0.946447632
SED.Nicotinate_seeds	DEV.CotPaveSolid	0.330594025	0.678660538
SED.Nonanoate_seeds	DEV.CotPaveSolid	0.662548934	0.88059996
SED.Octadecanoate_seeds	DEV.CotPaveSolid	0.107162284	0.405479696
SED.Phenylalanine_seeds	DEV.CotPaveSolid	0.934080234	0.980794767
SED.Phosphate_seeds	DEV.CotPaveSolid	0.988706216	0.997516434
SED.Proline_seeds	DEV.CotPaveSolid	0.671087646	0.884468036
SED.Putrescine_seeds	DEV.CotPaveSolid	0.750128867	0.917195868
SED.Raffinose_seeds	DEV.CotPaveSolid	0.609808218	0.855831139
SED.Salicylate_seeds	DEV.CotPaveSolid	0.977857382	0.993343972
SED.Serine_seeds	DEV.CotPaveSolid	0.74591778	0.915970815
SED.Succinate_seeds	DEV.CotPaveSolid	0.080933957	0.351808196
SED.Threonine_seeds	DEV.CotPaveSolid	0.998006916	0.999727962
SED.Trehalose_alpha_alpha_seeds	DEV.CotPaveSolid	0.889784549	0.965413296
SED.Tyrosine_seeds	DEV.CotPaveSolid	0.968782782	0.990978929
SED.Uracil_seeds	DEV.CotPaveSolid	0.542265398	0.818968239
SED.Urea_seeds	DEV.CotPaveSolid	0.598159196	0.849726137
SED.Valine_seeds	DEV.CotPaveSolid	0.829659162	0.945795211
SED.X4_Hydroxy_Benzoate_seeds	DEV.CotPaveSolid	0.814751795	0.940999584
WAX.pct_iso	DEV.CotPaveSolid	0.52894157	0.811041781
WAX.pct_anteiso	DEV.CotPaveSolid	0.372284732	0.711497777
WAX.mindex	DEV.CotPaveSolid	0.942865294	0.983740144
WAX.nalk_CPI	DEV.CotPaveSolid	0.625044563	0.863465533
WAX.nalk_ACL	DEV.CotPaveSolid	0.266640448	0.618878477
WAX.anteiso_CPI	DEV.CotPaveSolid	0.714280919	0.903346665
WAX.anteiso_ACL	DEV.CotPaveSolid	0.188906808	0.53111167
WAX.iso_CPI	DEV.CotPaveSolid	0.838472496	0.949110411
WAX.iso_ACL	DEV.CotPaveSolid	0.500178234	0.794140145
WAX.13eps_iC31	DEV.CotPaveSolid	0.793887869	0.93374147
WAX.13eps_nC31	DEV.CotPaveSolid	0.669556204	0.883954529
WAX.13eps_iC33	DEV.CotPaveSolid	0.875140554	0.960001831
WAX.13eps_nC33	DEV.CotPaveSolid	0.919122494	0.975688318
WAX.i31_n31	DEV.CotPaveSolid	0.98793937	0.997478022
WAX.i33_n33	DEV.CotPaveSolid	0.698990618	0.896737081
DEV.CompAll	DEV.CotStom	0.131304292	0.448030239
DEV.CompInt	DEV.CotStom	0.245127861	0.596938851
DEV.CompPri	DEV.CotStom	0.101202346	0.394951829
DEV.CompRachis	DEV.CotStom	0.218746887	0.567852542
DEV.CompSec	DEV.CotStom	0.068454096	0.323048809
DEV.CotPaveAR	DEV.CotStom	0.399571723	0.730659394
DEV.CotPaveArea	DEV.CotStom	9.19E-06	0.000359506
DEV.CotPaveCirc	DEV.CotStom	0.326313126	0.673978794
DEV.CotPaveCnt	DEV.CotStom	4.00E-07	2.30E-05
DEV.CotPaveRound	DEV.CotStom	0.57640841	0.838769703
DEV.CotPaveSolid	DEV.CotStom	0.598781106	0.849896585
DEV.CotStom	DEV.CotStom	NA	NA
DEV.CotStomInd	DEV.CotStom	1.94E-07	1.20E-05
DEV.FlowTime	DEV.CotStom	0.368403977	0.708824696
DEV.LatLfSize	DEV.CotStom	0.358615263	0.701718797
DEV.LatPC1	DEV.CotStom	0.972565413	0.992246921
DEV.LatPC2	DEV.CotStom	0.806560185	0.938012426
DEV.LatPC3	DEV.CotStom	0.451339562	0.76437729
DEV.LatPC4	DEV.CotStom	0.662621576	0.88059996
DEV.LatPC5	DEV.CotStom	0.223215769	0.572834904
DEV.LfAbStom	DEV.CotStom	0.914277444	0.974191314
DEV.LfAdStom	DEV.CotStom	0.902058627	0.969745966
DEV.LfStomRatio	DEV.CotStom	0.672063325	0.884800063
DEV.LftAR	DEV.CotStom	0.654730794	0.876883357
DEV.LftCirc	DEV.CotStom	0.504291583	0.796113342
DEV.LftRound	DEV.CotStom	0.658108001	0.878419642
DEV.LftSolid	DEV.CotStom	0.389424578	0.723870492
DEV.TermLfSize	DEV.CotStom	0.52562241	0.808451774
DEV.TermPC1	DEV.CotStom	0.603482615	0.852510385
DEV.TermPC3	DEV.CotStom	0.790443289	0.932413731
DEV.TermPC4	DEV.CotStom	0.619789271	0.860108777
DEV.TermPC5	DEV.CotStom	0.163840155	0.496850335
ENZ.aa_cont	DEV.CotStom	0.654168607	0.876560235
ENZ.ac_inv	DEV.CotStom	0.226988323	0.5770344
ENZ.aconi	DEV.CotStom	0.717875012	0.904858367
ENZ.agpa	DEV.CotStom	0.226515544	0.57658812
ENZ.ala_ami	DEV.CotStom	0.627321586	0.86482308
ENZ.asp_ami	DEV.CotStom	0.610838258	0.856189992
ENZ.fbp_ald	DEV.CotStom	0.172697045	0.509372595
ENZ.fru_kin	DEV.CotStom	0.04724395	0.260905273
ENZ.fructose_e	DEV.CotStom	0.5914902	0.847055079
ENZ.fuma	DEV.CotStom	0.098878609	0.390888706
ENZ.g6pdh	DEV.CotStom	0.717487233	0.904703673
ENZ.gadph	DEV.CotStom	0.274190107	0.625094132
ENZ.gapdh_p	DEV.CotStom	0.024230863	0.17455959
ENZ.gluc_kin	DEV.CotStom	0.324381765	0.672603162
ENZ.glucose_e	DEV.CotStom	0.990801968	0.998233182
ENZ.gluta_dh	DEV.CotStom	0.239516254	0.591149328
ENZ.iso_ci_dh	DEV.CotStom	0.336539427	0.682895197
ENZ.mal_dh	DEV.CotStom	0.603935549	0.852752011
ENZ.pep_car	DEV.CotStom	0.314519521	0.666038544
ENZ.ph_fru_kin	DEV.CotStom	0.993178921	0.998806794
ENZ.ph_fru_kin_a	DEV.CotStom	0.276789028	0.627995629
ENZ.ph_glu_is_c	DEV.CotStom	0.534570258	0.814436251
ENZ.ph_glu_is_t	DEV.CotStom	0.369247888	0.709570977
ENZ.ph_glu_mut	DEV.CotStom	0.425005096	0.747770745
ENZ.ph_gly_kin	DEV.CotStom	0.573395766	0.836478283
ENZ.pro_con	DEV.CotStom	0.663563426	0.880996422
ENZ.pyr_kin	DEV.CotStom	0.40706167	0.73510827
ENZ.shik_de	DEV.CotStom	0.434296911	0.75344587
ENZ.starch	DEV.CotStom	0.120255596	0.430163118
ENZ.suc_p_syn	DEV.CotStom	0.831946363	0.946692875
ENZ.suc_syn	DEV.CotStom	0.080620625	0.351298909
ENZ.succ_co_l	DEV.CotStom	0.939496371	0.982342471
ENZ.sucrose_e	DEV.CotStom	0.355884678	0.699676198
ENZ.tr_ph_iso	DEV.CotStom	0.992662187	0.99878625
ENZ.udp_glu	DEV.CotStom	0.221321151	0.570956362
MET.a_tocopherol	DEV.CotStom	1	1
MET.aconitate	DEV.CotStom	0.175899816	0.513425928
MET.alanine	DEV.CotStom	0.135283466	0.454182163
MET.arabinose	DEV.CotStom	0.748648043	0.916788158
MET.arginine	DEV.CotStom	0.070281035	0.326649706
MET.asparagine	DEV.CotStom	0.828914644	0.945490382
MET.aspartate	DEV.CotStom	0.932796518	0.98034884
MET.b_alanine	DEV.CotStom	0.836093665	0.948438442
MET.benzoate	DEV.CotStom	0.914174424	0.974157976
MET.citramalate	DEV.CotStom	0.560718145	0.829571852
MET.citrate	DEV.CotStom	0.024273959	0.174690053
MET.cysteine	DEV.CotStom	0.227514427	0.57774162
MET.dehydroascorbate	DEV.CotStom	0.240252293	0.592129693
MET.erythritol	DEV.CotStom	0.552949701	0.82576292
MET.fa16_0	DEV.CotStom	0.116921471	0.424663161
MET.fa18_0	DEV.CotStom	0.089250246	0.369938101
MET.fa18_2	DEV.CotStom	0.635271302	0.868828634
MET.fructose	DEV.CotStom	0.994625792	0.999247804
MET.fructose_6p	DEV.CotStom	0.072326596	0.33216334
MET.fucose	DEV.CotStom	0.956836002	0.987045417
MET.fumarate	DEV.CotStom	0.292493439	0.645354755
MET.gaba	DEV.CotStom	0.972410689	0.992246921
MET.galactose	DEV.CotStom	0.926001527	0.978040589
MET.galacturonate	DEV.CotStom	0.35854686	0.701718797
MET.gluconate	DEV.CotStom	0.781172897	0.928927581
MET.glucose	DEV.CotStom	0.449150157	0.762979608
MET.glucose_6p	DEV.CotStom	0.057845745	0.29471188
MET.glutamate	DEV.CotStom	0.644080593	0.871952083
MET.glutamine	DEV.CotStom	0.480566202	0.781917151
MET.glycerate	DEV.CotStom	0.07024414	0.326591457
MET.glycerate_3p	DEV.CotStom	0.531458948	0.812544863
MET.glycerol	DEV.CotStom	0.00186949	0.028385586
MET.glycerol_1p	DEV.CotStom	0.425232189	0.747850432
MET.glycine	DEV.CotStom	0.983775002	0.99577443
MET.homoserine	DEV.CotStom	0.821547946	0.943466564
MET.inositol	DEV.CotStom	0.640083844	0.87109789
MET.inositol_1p	DEV.CotStom	0.152874817	0.481049426
MET.isocitrate	DEV.CotStom	0.045772628	0.255778945
MET.isoleucine	DEV.CotStom	0.769454259	0.924501734
MET.isomaltose	DEV.CotStom	0.209701699	0.556458649
MET.l_ascorbate	DEV.CotStom	0.882980995	0.96244481
MET.leucine	DEV.CotStom	0.512384487	0.801108974
MET.lysine	DEV.CotStom	0.938153542	0.982145744
MET.malate	DEV.CotStom	0.557133008	0.827705216
MET.maleate	DEV.CotStom	0.714839028	0.903523811
MET.maltitol	DEV.CotStom	0.254533773	0.60574511
MET.maltose	DEV.CotStom	0.650705969	0.874844629
MET.mannitol	DEV.CotStom	0.292116507	0.645223836
MET.mannose	DEV.CotStom	0.881064136	0.961567638
MET.methionine	DEV.CotStom	0.425383634	0.747882085
MET.oxoproline_5	DEV.CotStom	0.90096919	0.969357302
MET.phenylalanine	DEV.CotStom	0.783163999	0.929682092
MET.phosphate	DEV.CotStom	0.82094314	0.943450411
MET.proline	DEV.CotStom	0.982018431	0.994853411
MET.putrescine	DEV.CotStom	0.977679054	0.993234976
MET.quinate	DEV.CotStom	0.198172054	0.543074929
MET.rhamnose	DEV.CotStom	0.816007822	0.941672285
MET.ribose	DEV.CotStom	0.199970514	0.544740733
MET.s_me_cysteine	DEV.CotStom	0.717386152	0.904701193
MET.saccharate	DEV.CotStom	0.410391965	0.737048953
MET.serine	DEV.CotStom	0.921577304	0.976539515
MET.shikimate	DEV.CotStom	0.966976259	0.990493666
MET.sorbitol	DEV.CotStom	0.151622146	0.479230815
MET.succinate	DEV.CotStom	0.604116756	0.852752011
MET.sucrose	DEV.CotStom	0.632395202	0.867443132
MET.t4_ho_proline	DEV.CotStom	0.944987743	0.984415227
MET.threonate	DEV.CotStom	0.162602764	0.494898818
MET.threonine	DEV.CotStom	0.244541363	0.596163116
MET.trehalose	DEV.CotStom	0.925384056	0.977970632
MET.tryptophan	DEV.CotStom	0.754730596	0.918495219
MET.tyrosine	DEV.CotStom	0.098537628	0.390327094
MET.uracil	DEV.CotStom	0.455281635	0.767197289
MET.valine	DEV.CotStom	0.738625131	0.913110708
MOR.Anther_L_W	DEV.CotStom	0.242533514	0.594399462
MOR.Anther_length	DEV.CotStom	0.215672197	0.56427062
MOR.Anther_width	DEV.CotStom	0.777656301	0.927437968
MOR.BM	DEV.CotStom	0.526169047	0.808656429
MOR.BX	DEV.CotStom	0.647941794	0.873564104
MOR.BY	DEV.CotStom	0.571181144	0.835343721
MOR.EA	DEV.CotStom	0.577401207	0.839185229
MOR.flowers_inf	DEV.CotStom	0.756595282	0.919164664
MOR.flowers_plant	DEV.CotStom	0.059283087	0.29915388
MOR.FN	DEV.CotStom	0.36501594	0.706755179
MOR.Fruit_L_Pt	DEV.CotStom	0.837271875	0.948496045
MOR.Fruit_L_W	DEV.CotStom	0.345723288	0.691237666
MOR.Fruit_length	DEV.CotStom	0.492043711	0.788793031
MOR.Fruit_locule	DEV.CotStom	0.473052969	0.777696811
MOR.Fruit_peric_thick	DEV.CotStom	0.290136286	0.642892906
MOR.Fruit_W_Pt	DEV.CotStom	0.373958925	0.712223333
MOR.Fruit_width	DEV.CotStom	0.292306892	0.645299537
MOR.FW	DEV.CotStom	0.140261062	0.461910133
MOR.HI	DEV.CotStom	0.790232952	0.932413731
MOR.inf	DEV.CotStom	0.032655006	0.209600617
MOR.Ovary_L_W	DEV.CotStom	0.343926221	0.690023724
MOR.Ovary_length	DEV.CotStom	0.183039365	0.523532313
MOR.Ovary_width	DEV.CotStom	0.428380435	0.750162007
MOR.PW	DEV.CotStom	0.626170228	0.864015934
MOR.RED	DEV.CotStom	0.227514427	0.57774162
MOR.Seed_L_W	DEV.CotStom	0.502801502	0.795820183
MOR.Seed_Length	DEV.CotStom	0.417433753	0.741831962
MOR.Seed_Width	DEV.CotStom	0.069639706	0.325369827
MOR.Seed_Wt	DEV.CotStom	0.162382481	0.494736731
MOR.SN_fruit	DEV.CotStom	0.399832217	0.73085599
MOR.SN_fruit_unit	DEV.CotStom	0.490516821	0.787928074
MOR.SN_plant	DEV.CotStom	0.858910999	0.955043736
